image_id,capture_id,camera_id,image_path,timestamp,width,height,blur_score,exposure_status,annotation_status
S001_SE01_CAP000031_CAM01,CAP000031,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000031_CAM01.jpg,2026-08-28T13:48:49.261+00:00,1920,1080,200.27,auto,unannotated
S001_SE01_CAP000031_CAM02,CAP000031,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000031_CAM02.jpg,2026-08-28T13:48:49.223+00:00,1920,1080,182.81,auto,unannotated
S001_SE01_CAP000032_CAM01,CAP000032,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000032_CAM01.jpg,2026-08-28T13:48:52.255+00:00,1920,1080,170.75,auto,unannotated
S001_SE01_CAP000032_CAM02,CAP000032,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000032_CAM02.jpg,2026-08-28T13:48:52.293+00:00,1920,1080,204.18,auto,unannotated
S001_SE01_CAP000033_CAM01,CAP000033,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000033_CAM01.jpg,2026-08-28T13:48:55.783+00:00,1920,1080,218.42,auto,unannotated
S001_SE01_CAP000033_CAM02,CAP000033,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000033_CAM02.jpg,2026-08-28T13:48:55.823+00:00,1920,1080,213.79,auto,unannotated
S001_SE01_CAP000034_CAM01,CAP000034,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000034_CAM01.jpg,2026-08-28T13:49:00.343+00:00,1920,1080,202.01,auto,unannotated
S001_SE01_CAP000034_CAM02,CAP000034,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000034_CAM02.jpg,2026-08-28T13:49:00.300+00:00,1920,1080,200.06,auto,unannotated
S001_SE01_CAP000035_CAM01,CAP000035,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000035_CAM01.jpg,2026-08-28T13:49:04.678+00:00,1920,1080,211.06,auto,unannotated
S001_SE01_CAP000035_CAM02,CAP000035,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000035_CAM02.jpg,2026-08-28T13:49:04.698+00:00,1920,1080,198.22,auto,unannotated
S001_SE01_CAP000036_CAM01,CAP000036,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000036_CAM01.jpg,2026-08-28T13:49:35.778+00:00,1920,1080,204.9,auto,unannotated
S001_SE01_CAP000036_CAM02,CAP000036,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000036_CAM02.jpg,2026-08-28T13:49:35.783+00:00,1920,1080,201.5,auto,unannotated
S001_SE01_CAP000037_CAM01,CAP000037,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000037_CAM01.jpg,2026-08-28T13:49:39.504+00:00,1920,1080,201.9,auto,unannotated
S001_SE01_CAP000037_CAM02,CAP000037,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000037_CAM02.jpg,2026-08-28T13:49:39.508+00:00,1920,1080,194.58,auto,unannotated
S001_SE01_CAP000038_CAM01,CAP000038,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000038_CAM01.jpg,2026-08-28T13:49:42.285+00:00,1920,1080,194.9,auto,unannotated
S001_SE01_CAP000038_CAM02,CAP000038,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000038_CAM02.jpg,2026-08-28T13:49:42.304+00:00,1920,1080,194.03,auto,unannotated
S001_SE01_CAP000039_CAM01,CAP000039,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000039_CAM01.jpg,2026-08-28T13:49:45.014+00:00,1920,1080,163.02,auto,unannotated
S001_SE01_CAP000039_CAM02,CAP000039,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000039_CAM02.jpg,2026-08-28T13:49:45.045+00:00,1920,1080,124.91,auto,unannotated
S001_SE01_CAP000040_CAM01,CAP000040,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000040_CAM01.jpg,2026-08-28T13:49:48.145+00:00,1920,1080,205.34,auto,unannotated
S001_SE01_CAP000040_CAM02,CAP000040,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000040_CAM02.jpg,2026-08-28T13:49:48.129+00:00,1920,1080,200.57,auto,unannotated
S001_SE01_CAP000041_CAM01,CAP000041,CAM01,02_data\private_raw\S001\SE01\CAM01\S001_SE01_CAP000041_CAM01.jpg,2026-08-28T13:50:06.606+00:00,1920,1080,198.04,auto,unannotated
S001_SE01_CAP000041_CAM02,CAP000041,CAM02,02_data\private_raw\S001\SE01\CAM02\S001_SE01_CAP000041_CAM02.jpg,2026-08-28T13:50:06.645+00:00,1920,1080,201.11,auto,unannotated
